[2019-08-12 09:14:16.200562] INFO: match_province: [ Error: province_failed | sorc_id: 8610073 | company: 皖南砀山县瑞诺汽车销售服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.215572] INFO: match_province: [ Error: province_failed | sorc_id: 8588968 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.233563] INFO: match_province: [ Error: province_failed | sorc_id: 8588969 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.248564] INFO: match_province: [ Error: province_failed | sorc_id: 8588970 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.264566] INFO: match_province: [ Error: province_failed | sorc_id: 8588835 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.278571] INFO: match_province: [ Error: province_failed | sorc_id: 8588832 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.293566] INFO: match_province: [ Error: province_failed | sorc_id: 8588921 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.308567] INFO: match_province: [ Error: province_failed | sorc_id: 8588931 | company: 京津四平八达汽车贸易有限公司 | marketing: 京津]
[2019-08-12 09:14:16.322570] INFO: match_province: [ Error: province_failed | sorc_id: 8588963 | company: 晋北神池县嘉新汽车服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.337578] INFO: match_province: [ Error: province_failed | sorc_id: 8588976 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.352582] INFO: match_province: [ Error: province_failed | sorc_id: 8588854 | company: 川南凉山州万泰汽车家园有限公司 | marketing: 川南]
[2019-08-12 09:14:16.367580] INFO: match_province: [ Error: province_failed | sorc_id: 8588834 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.382581] INFO: match_province: [ Error: province_failed | sorc_id: 8588830 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.393584] INFO: match_province: [ Error: province_failed | sorc_id: 8588934 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.402616] INFO: match_province: [ Error: province_failed | sorc_id: 8588947 | company: 晋北侯马市重和汽车修理厂 | marketing: 晋北]
[2019-08-12 09:14:16.410604] INFO: match_province: [ Error: province_failed | sorc_id: 8588817 | company: 晋北稷山县捷潍特汽车销售服务有限公司 | marketing: 晋北]
